ID	Invasion	Fractional Area	K14 Sum Peripheral Pixels	K14 Sum Central Pixels	K14 Total Sum	K14 Total Mean	K14 Peripheral Mean	K14 Central Mean
36	0.1041348073916778	0.0063781589448	8.473024545663977e-05	0.0002473257092684114	0.0003320559547250512	0.05206141107469381	0.037232817023308565	0.060286998960340635
37	0.19341481523484944	0.0223606184881	0.0004365472635518406	0.0020422192375065744	0.002478766501058415	0.11085411176677126	0.09339924498033984	0.11546685651660689
38	0.06537917245371953	0.0117733041454	0.0002635143505418128	0.0012740941532897797	0.0015376085038315925	0.1306012725772863	0.08488913976659622	0.14696982516836046
39	0.3781695231528772	0.0167347871869	0.0002493903790733762	0.00174253784865753	0.001991928227730906	0.11902919382763247	0.058195926285160036	0.13996929693918633
40	0.10368914626269223	0.0256352527156	0.0006536961936182143	0.00558054711576495	0.006234243309383164	0.24319024191219524	0.134880435879326	0.2684405135975547
41	0.6354171203590087	0.0395637053868	0.0012910977958019829	0.00866716055741738	0.009958258353219363	0.2517018630043112	0.1790666304953957	0.26788899230976887
42	0.14793262883257502	0.0185435601862	0.0007341694159375122	0.0035598221775963767	0.004293991593533889	0.23156241576128359	0.17657251504400495	0.24745615476278154
43	0.192120923111397	0.0204416980714	0.0004552325252867718	0.002401672817209349	0.0028569053424961207	0.1397587095025078	0.0941457385246362	0.1538912795231729
44	0.029633977637944352	0.0184867545999	0.0004931735496237954	0.003011943028153403	0.003505116577777198	0.18960150949385227	0.12705798364321635	0.20622302328890577
45	0.7407272287034715	0.0790615994236	0.0021745998887251644	0.015991894541013036	0.018166494429738198	0.22977645990182594	0.18274893353743665	0.23810850549606122
46	0.27357513515957654	0.026202615828	0.000621131460786487	0.0032197574773646987	0.003840888938151186	0.146584179357022	0.10019171821147724	0.1609622273151685
47	0.05211435615128665	0.0187680115274	0.0003169159483789082	0.0016653273479642356	0.001982243296343144	0.1056181840815464	0.07924380907741582	0.1127601357161843
48	0.4418656562865011	0.02298686544	0.0006961577581597924	0.003456537070603014	0.004152694828762806	0.18065511540038837	0.12747908753759019	0.19722441172207844
49	0.20276511146367424	0.0130223342939	0.00043766109857820316	0.0027863887186441857	0.003224049817222389	0.24757848665586035	0.1232005750818268	0.29423612605246924
50	1.4455266085657914	0.0382772666814	0.0011788150751322476	0.008438191392717584	0.009617006467849831	0.2512459039430736	0.13542722938757676	0.2853357548599331
51	0.30046064405860146	0.0361193471514	0.001109738286802196	0.006099673021502993	0.0072094113083051884	0.19959971253312694	0.163295556754812	0.208013418696402
52	0.09965935691197975	0.0205795555309	0.0008354795032621783	0.004434207123328161	0.0052696866265903395	0.2560641612823808	0.18965739464523032	0.27415053395008854
53	0.3144229619416802	0.0159381234759	0.0009372432746097774	0.003278934717314104	0.004216177991923881	0.26453415286225757	0.2289995619100721	0.2768119681348181
54	1.4567467188622591	0.0577733595655	0.0012177123675894653	0.006125785661194205	0.00734349802878367	0.12710872422880684	0.090286720266205	0.13832270863545018
55	0.9559085288963095	0.0291814453558	0.0008364547880779445	0.0033442760832996465	0.004180730871377591	0.14326675119767782	0.10992709538294561	0.15502663493142924
56	0.07577244748533428	0.0113805142984	0.0006937127544433868	0.002512953086355358	0.0032066658407987445	0.28176809559957416	0.22377390732829444	0.3034801337919925
57	0.20654543544194157	0.00612391930836	0.0005487973841720239	0.0012562238927936503	0.0018050212769656743	0.29474935675627717	0.22988972721996517	0.3361854493373174
58	0.1290491530643517	0.0111692252272	0.0006949950230591017	0.0025655532663076313	0.003260548289366733	0.29192251235295336	0.22398732210008362	0.3180545732549289
59	0.6023378672707123	0.0260425903347	0.0005556379612363677	0.003208662593833809	0.003764300555070177	0.1445440145041604	0.08926817026198348	0.161904663990876
60	0.4871251710756535	0.0252293005985	0.0010144537753030718	0.003956026879827524	0.004970480655130596	0.19701222535748147	0.15766411646484604	0.2104826184648051
61	1.0480214311958407	0.0271925570827	0.0014728376387132109	0.007240180321740756	0.008713017960453966	0.32041922111111276	0.211129154740347	0.35813127841685966
62	0.3053465821628613	0.0329867268898	0.0009339262195678538	0.004553132104094131	0.005487058323661986	0.1663413997390123	0.13686712451478053	0.17402857666486513
63	0.8989259783882512	0.103826756817	0.0027728651314216663	0.028545059788490878	0.031317924919912546	0.3016363592596023	0.19598914334376946	0.3183036677858555
